               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064904,            0.024565,            0.032055,             0.23447,             0.55947,             0.30428,             0.18674,            0.022285,           0.0087451,            0.012062,            0.070857,           0.0032381,           0.0032381
                   1,            0.045044,            0.017474,            0.032658,             0.23266,             0.80838,             0.28206,             0.18778,            0.013954,           0.0049193,             0.01155,            0.040805,           0.0065189,           0.0065189
                   2,            0.041107,            0.014215,            0.032753,             0.18252,              0.8252,             0.22495,             0.14932,            0.014468,            0.005507,            0.011498,            0.010699,           0.0097463,           0.0097463
                   3,            0.035701,            0.011653,            0.032009,             0.33499,             0.99385,             0.39549,             0.27001,            0.018535,           0.0050031,            0.011424,             0.00976,             0.00976,             0.00976
                   4,            0.028645,            0.010567,            0.031397,          0.00023357,            0.066002,          0.00014302,          1.8785e-05,             0.03593,           0.0058418,            0.011679,             0.00976,             0.00976,             0.00976
                   5,            0.026537,           0.0087688,            0.031548,            0.008199,           0.0034722,          0.00092462,          0.00010498,            0.035326,           0.0067075,            0.011521,             0.00968,             0.00968,             0.00968
                   6,            0.024521,           0.0079306,            0.030639,            0.035063,            0.092633,            0.022074,           0.0040422,            0.032268,           0.0056403,            0.012052,              0.0096,              0.0096,              0.0096
                   7,             0.02401,            0.007395,            0.031768,            0.034724,            0.068886,             0.01042,           0.0012674,            0.035501,           0.0052866,            0.011669,             0.00952,             0.00952,             0.00952
                   8,            0.023446,           0.0066224,            0.031355,              0.3317,                   1,             0.35963,             0.32465,           0.0028881,           0.0017467,            0.011572,             0.00944,             0.00944,             0.00944
                   9,            0.019264,           0.0065936,            0.030111,             0.31937,                   1,             0.39194,             0.36152,           0.0040589,           0.0019699,            0.011502,             0.00936,             0.00936,             0.00936
                  10,            0.022624,           0.0061728,            0.032607,             0.33279,                   1,             0.38329,             0.32845,           0.0058415,           0.0015485,             0.01144,             0.00928,             0.00928,             0.00928
                  11,            0.022368,           0.0059591,            0.031132,             0.33275,                   1,             0.37452,             0.33693,           0.0046163,            0.001669,            0.011435,              0.0092,              0.0092,              0.0092
                  12,            0.021709,            0.005484,            0.032753,             0.33119,                   1,             0.36313,             0.36142,            0.004227,            0.001859,            0.011482,             0.00912,             0.00912,             0.00912
                  13,            0.015408,           0.0055235,            0.029677,             0.33283,                   1,             0.37516,             0.33833,            0.005805,           0.0018608,            0.011452,             0.00904,             0.00904,             0.00904
                  14,            0.017612,           0.0052853,            0.030426,             0.33277,                   1,             0.36744,             0.34287,           0.0038029,           0.0016805,            0.011576,             0.00896,             0.00896,             0.00896
